#     r         beta        Ep   
   3.30000     0.70000   108.05671
   3.40000     0.70000   107.23924
   3.50000     0.70000   107.49121
   3.60000     0.70000   107.89405
   3.70000     0.70000   107.39042
   3.80000     0.70000   107.83336
   3.90000     0.70000   107.62848
   4.00000     0.70000   107.95033
   4.10000     0.70000   107.48495
   4.20000     0.70000   107.77249
   4.30000     0.70000   107.92387
   4.40000     0.70000   107.62912
   4.50000     0.70000   107.24593
   4.60000     0.70000   107.42121
   4.70000     0.70000   107.53024
   4.80000     0.70000   107.68661
   4.90000     0.70000   107.57101
   5.00000     0.70000   107.70499
   0.10000     0.80000   107.77532
   0.20000     0.80000   107.33082
   0.30000     0.80000   106.50469
   0.40000     0.80000   106.49083
   0.50000     0.80000   105.82074
   0.60000     0.80000   105.70995
   0.70000     0.80000   105.31514
   0.80000     0.80000   104.57665
   0.90000     0.80000   104.01757
   1.00000     0.80000   103.02579
   1.10000     0.80000   101.58532
   1.20000     0.80000   107.80178
   1.30000     0.80000   108.12404
   1.40000     0.80000   107.80847
   1.50000     0.80000   107.56936
   1.60000     0.80000   107.56144
   1.70000     0.80000   107.78859
   1.80000     0.80000   107.71759
   1.90000     0.80000   107.88874
   2.00000     0.80000   107.91946
   2.10000     0.80000   107.53076
   2.20000     0.80000   107.91518
   2.30000     0.80000   107.81860
   2.40000     0.80000   107.64678
   2.50000     0.80000   107.85078
   2.60000     0.80000   107.78107
   2.70000     0.80000   107.93741
   2.80000     0.80000   107.65530
   2.90000     0.80000   108.00033
   3.00000     0.80000   107.82347
   3.10000     0.80000   107.66998
   3.20000     0.80000   107.78065
   3.30000     0.80000   107.46030
   3.40000     0.80000   107.86931
   3.50000     0.80000   107.86981
   3.60000     0.80000   107.85717
   3.70000     0.80000   107.57802
   3.80000     0.80000   107.39687
   3.90000     0.80000   108.00466
   4.00000     0.80000   107.74859
   4.10000     0.80000   107.54624
   4.20000     0.80000   108.03646
   4.30000     0.80000   108.26453
   4.40000     0.80000   108.07624
   4.50000     0.80000   107.68518
   4.60000     0.80000   107.67202
   4.70000     0.80000   108.04094
   4.80000     0.80000   107.85389
   4.90000     0.80000   107.81317
   5.00000     0.80000   107.68474
   0.10000     0.90000   107.51006
   0.20000     0.90000   107.15627
   0.30000     0.90000   106.97303
   0.40000     0.90000   106.39724
   0.50000     0.90000   105.48188
   0.60000     0.90000   105.30542
   0.70000     0.90000   104.95090
   0.80000     0.90000   103.81721
   0.90000     0.90000   103.69603
   1.00000     0.90000   102.60173
   1.10000     0.90000   101.20761
   1.20000     0.90000   100.26879
   1.30000     0.90000   107.95985
   1.40000     0.90000   107.64540
   1.50000     0.90000   107.32408
   1.60000     0.90000   107.62229
   1.70000     0.90000   107.77266
   1.80000     0.90000   107.88897
   1.90000     0.90000   107.92841
   2.00000     0.90000   108.01814
   2.10000     0.90000   107.70486
   2.20000     0.90000   108.29692
   2.30000     0.90000   107.88378
   2.40000     0.90000   107.63613
   2.50000     0.90000   107.73638
   2.60000     0.90000   107.77358
   2.70000     0.90000   107.29405
   2.80000     0.90000   107.42378
   2.90000     0.90000   108.05868
   3.00000     0.90000   107.49668
   3.10000     0.90000   107.78234
   3.20000     0.90000   107.38573
   3.30000     0.90000   107.94482
   3.40000     0.90000   107.69903
   3.50000     0.90000   107.78597
   3.60000     0.90000   107.95931
   3.70000     0.90000   107.52405
   3.80000     0.90000   107.67428
   3.90000     0.90000   108.15195
   4.00000     0.90000   107.86131
   4.10000     0.90000   107.80828
   4.20000     0.90000   108.13697
   4.30000     0.90000   107.43515
   4.40000     0.90000   107.63505
   4.50000     0.90000   107.98705
   4.60000     0.90000   107.49611
   4.70000     0.90000   107.97718
   4.80000     0.90000   107.62061
   4.90000     0.90000   107.86419
   5.00000     0.90000   107.91267
   0.10000     1.00000   107.11635
   0.20000     1.00000   106.71649
   0.30000     1.00000   106.76679
   0.40000     1.00000   106.21869
   0.50000     1.00000   105.73603
   0.60000     1.00000   105.10547
   0.70000     1.00000   104.19311
   0.80000     1.00000   103.23170
   0.90000     1.00000   103.23951
   1.00000     1.00000   101.75969
   1.10000     1.00000   100.91473
   1.20000     1.00000   100.12997
   1.30000     1.00000   107.45346
   1.40000     1.00000   108.12036
   1.50000     1.00000   107.82043
   1.60000     1.00000   107.55146
   1.70000     1.00000   107.35085
   1.80000     1.00000   107.82893
   1.90000     1.00000   107.87951
   2.00000     1.00000   107.69391
   2.10000     1.00000   107.77360
   2.20000     1.00000   107.56282
   2.30000     1.00000   107.56216
   2.40000     1.00000   107.69328
   2.50000     1.00000   107.55681
   2.60000     1.00000   107.30914
   2.70000     1.00000   107.76991
   2.80000     1.00000   108.19070
   2.90000     1.00000   107.94798
   3.00000     1.00000   107.96429
   3.10000     1.00000   107.74613
   3.20000     1.00000   107.73883
   3.30000     1.00000   107.62330
   3.40000     1.00000   107.89022
   3.50000     1.00000   108.36308
   3.60000     1.00000   107.74815
   3.70000     1.00000   107.54954
