#     r         beta        Ep   
   2.00000     0.60000    38.20277
   2.10000     0.60000    43.78200
   2.20000     0.60000    43.86390
   2.30000     0.60000    44.01375
   2.40000     0.60000    43.88882
   2.50000     0.60000    43.80996
   2.60000     0.60000    43.73824
   2.70000     0.60000    44.02122
   2.80000     0.60000    43.80601
   2.90000     0.60000    43.71255
   3.00000     0.60000    44.00533
   3.10000     0.60000    43.62357
   3.20000     0.60000    44.03243
   3.30000     0.60000    43.90597
   3.40000     0.60000    44.07594
   3.50000     0.60000    43.94516
   3.60000     0.60000    43.80484
   3.70000     0.60000    44.05711
   3.80000     0.60000    43.94417
   3.90000     0.60000    44.11479
   4.00000     0.60000    43.92600
   4.10000     0.60000    44.00939
   4.20000     0.60000    43.81827
   4.30000     0.60000    43.69409
   4.40000     0.60000    44.15602
   4.50000     0.60000    43.91423
   4.60000     0.60000    43.75923
   4.70000     0.60000    44.00545
   4.80000     0.60000    44.18193
   4.90000     0.60000    43.85680
   5.00000     0.60000    43.71681
   0.10000     0.70000    43.63415
   0.20000     0.70000    43.17710
   0.30000     0.70000    43.06466
   0.40000     0.70000    43.27883
   0.50000     0.70000    42.85743
   0.60000     0.70000    42.46827
   0.70000     0.70000    42.28871
   0.80000     0.70000    41.78758
   0.90000     0.70000    41.61288
   1.00000     0.70000    41.25206
   1.10000     0.70000    41.12279
   1.20000     0.70000    40.78470
   1.30000     0.70000    40.28457
   1.40000     0.70000    39.71852
   1.50000     0.70000    39.24113
   1.60000     0.70000    39.34871
   1.70000     0.70000    38.43383
   1.80000     0.70000    38.09620
   1.90000     0.70000    37.95557
   2.00000     0.70000    37.57774
   2.10000     0.70000    44.00319
   2.20000     0.70000    43.80558
   2.30000     0.70000    43.91386
   2.40000     0.70000    43.94003
   2.50000     0.70000    44.32878
   2.60000     0.70000    43.92220
   2.70000     0.70000    43.80137
   2.80000     0.70000    43.87088
   2.90000     0.70000    44.05665
   3.00000     0.70000    43.82525
   3.10000     0.70000    43.89788
   3.20000     0.70000    44.08425
   3.30000     0.70000    44.17323
   3.40000     0.70000    43.56545
   3.50000     0.70000    43.95740
   3.60000     0.70000    43.70363
   3.70000     0.70000    43.56329
   3.80000     0.70000    43.76365
   3.90000     0.70000    44.04766
   4.00000     0.70000    43.82807
   4.10000     0.70000    44.10463
   4.20000     0.70000    43.91299
   4.30000     0.70000    44.15732
   4.40000     0.70000    43.71334
   4.50000     0.70000    43.79201
   4.60000     0.70000    43.94336
   4.70000     0.70000    44.06807
   4.80000     0.70000    43.92544
   4.90000     0.70000    43.88255
   5.00000     0.70000    44.07438
   0.10000     0.80000    43.62193
   0.20000     0.80000    43.43766
   0.30000     0.80000    43.12212
   0.40000     0.80000    42.76635
   0.50000     0.80000    42.54899
   0.60000     0.80000    42.28387
   0.70000     0.80000    41.99648
   0.80000     0.80000    41.73363
   0.90000     0.80000    41.33953
   1.00000     0.80000    40.94272
   1.10000     0.80000    40.34796
   1.20000     0.80000    40.08982
   1.30000     0.80000    39.62377
   1.40000     0.80000    39.22558
   1.50000     0.80000    38.66108
   1.60000     0.80000    38.30631
   1.70000     0.80000    38.00290
   1.80000     0.80000    37.80723
   1.90000     0.80000    37.49130
   2.00000     0.80000    37.06683
   2.10000     0.80000    44.29899
   2.20000     0.80000    43.78133
   2.30000     0.80000    43.88975
   2.40000     0.80000    43.94027
   2.50000     0.80000    43.64089
   2.60000     0.80000    44.19442
   2.70000     0.80000    43.87000
   2.80000     0.80000    43.71574
   2.90000     0.80000    43.73160
   3.00000     0.80000    43.81098
   3.10000     0.80000    43.89365
   3.20000     0.80000    43.85713
   3.30000     0.80000    44.07039
   3.40000     0.80000    43.75006
   3.50000     0.80000    43.93147
   3.60000     0.80000    43.85022
   3.70000     0.80000    43.35940
   3.80000     0.80000    43.78867
   3.90000     0.80000    43.75128
   4.00000     0.80000    43.94530
   4.10000     0.80000    43.66652
   4.20000     0.80000    44.07037
   4.30000     0.80000    43.96333
   4.40000     0.80000    44.09045
   4.50000     0.80000    43.78931
   4.60000     0.80000    43.89428
   4.70000     0.80000    43.93937
   4.80000     0.80000    43.73181
   4.90000     0.80000    43.50158
   5.00000     0.80000    43.81255
   0.10000     0.90000    43.52784
   0.20000     0.90000    43.61818
   0.30000     0.90000    43.41120
   0.40000     0.90000    42.79641
   0.50000     0.90000    42.59599
   0.60000     0.90000    42.24133
   0.70000     0.90000    42.10032
   0.80000     0.90000    41.36787
   0.90000     0.90000    40.94326
   1.00000     0.90000    40.61120
   1.10000     0.90000    39.85656
   1.20000     0.90000    39.59522
   1.30000     0.90000    39.17008
   1.40000     0.90000    38.70748
   1.50000     0.90000    38.14087
   1.60000     0.90000    38.01894
   1.70000     0.90000    37.62403
   1.80000     0.90000    37.14614
   1.90000     0.90000    36.92003
   2.00000     0.90000    43.74253
   2.10000     0.90000    43.73569
   2.20000     0.90000    43.92176
   2.30000     0.90000    43.91882
   2.40000     0.90000    43.68351
   2.50000     0.90000    43.62956
   2.60000     0.90000    43.75058
   2.70000     0.90000    43.82437
   2.80000     0.90000    43.91580
   2.90000     0.90000    44.01767
   3.00000     0.90000    43.77824
   3.10000     0.90000    43.65935
   3.20000     0.90000    43.87114
   3.30000     0.90000    43.80695
   3.40000     0.90000    43.60900
   3.50000     0.90000    43.67431
   3.60000     0.90000    43.98817
   3.70000     0.90000    43.98687
   3.80000     0.90000    43.61030
   3.90000     0.90000    44.08970
   4.00000     0.90000    44.11548
   4.10000     0.90000    43.90046
   4.20000     0.90000    43.88707
   4.30000     0.90000    43.98209
   4.40000     0.90000    44.01964
   4.50000     0.90000    43.76503
   4.60000     0.90000    43.92628
   4.70000     0.90000    44.16983
   4.80000     0.90000    43.98187
   4.90000     0.90000    44.11156
   5.00000     0.90000    43.94254
   0.10000     1.00000    43.64158
   0.20000     1.00000    43.33320
   0.30000     1.00000    43.11761
   0.40000     1.00000    42.65843
   0.50000     1.00000    42.61611
   0.60000     1.00000    42.18617
   0.70000     1.00000    41.71815
   0.80000     1.00000    41.24652
   0.90000     1.00000    40.86710
   1.00000     1.00000    40.19787
   1.10000     1.00000    39.74666
   1.20000     1.00000    39.30723
   1.30000     1.00000    38.62229
   1.40000     1.00000    38.36303
   1.50000     1.00000    37.80910
   1.60000     1.00000    37.47344
   1.70000     1.00000    36.88975
   1.80000     1.00000    36.81741
   1.90000     1.00000    36.48020
   2.00000     1.00000    44.02436
   2.10000     1.00000    43.60011
   2.20000     1.00000    43.81727
   2.30000     1.00000    44.02974
   2.40000     1.00000    43.93844
   2.50000     1.00000    43.99219
   2.60000     1.00000    43.40728
   2.70000     1.00000    43.93941
   2.80000     1.00000    44.04160
   2.90000     1.00000    43.60926
   3.00000     1.00000    43.59842
   3.10000     1.00000    43.71033
   3.20000     1.00000    43.75972
   3.30000     1.00000    43.84433
   3.40000     1.00000    43.90530
   3.50000     1.00000    43.82565
   3.60000     1.00000    43.98574
   3.70000     1.00000    44.00606
   3.80000     1.00000    43.93839
   3.90000     1.00000    43.79842
   4.00000     1.00000    43.59833
   4.10000     1.00000    43.86351
   4.20000     1.00000    43.64987
   4.30000     1.00000    43.76237
   4.40000     1.00000    44.13356
   4.50000     1.00000    43.57600
   4.60000     1.00000    43.67512
   4.70000     1.00000    44.05852
   4.80000     1.00000    43.89346
   4.90000     1.00000    43.66331
   5.00000     1.00000    44.08386
   0.10000     1.10000    43.57875
   0.20000     1.10000    43.07933
   0.30000     1.10000    42.84569
   0.40000     1.10000    42.51982
   0.50000     1.10000    42.29050
   0.60000     1.10000    41.77181
   0.70000     1.10000    41.48917
   0.80000     1.10000    41.01271
   0.90000     1.10000    40.40693
   1.00000     1.10000    39.92545
   1.10000     1.10000    39.45314
   1.20000     1.10000    38.70654
   1.30000     1.10000    38.36408
   1.40000     1.10000    37.91276
   1.50000     1.10000    37.19775
   1.60000     1.10000    37.14173
   1.70000     1.10000    36.66948
   1.80000     1.10000    36.45765
   1.90000     1.10000    36.20706
   2.00000     1.10000    43.86753
   2.10000     1.10000    43.96213
   2.20000     1.10000    43.74369
   2.30000     1.10000    43.93303
   2.40000     1.10000    44.10779
   2.50000     1.10000    43.97760
   2.60000     1.10000    44.05358
   2.70000     1.10000    43.86808
   2.80000     1.10000    43.90006
   2.90000     1.10000    43.91006
   3.00000     1.10000    43.83278
   3.10000     1.10000    43.93765
   3.20000     1.10000    43.86553
   3.30000     1.10000    43.84896
   3.40000     1.10000    43.94213
   3.50000     1.10000    43.52927
   3.60000     1.10000    44.22529
   3.70000     1.10000    43.88265
   3.80000     1.10000    43.99069
   3.90000     1.10000    43.76470
   4.00000     1.10000    43.68972
   4.10000     1.10000    43.98726
   4.20000     1.10000    43.64046
   4.30000     1.10000    43.71057
   4.40000     1.10000    43.57116
   4.50000     1.10000    44.15706
   4.60000     1.10000    43.70091
   4.70000     1.10000    43.90299
   4.80000     1.10000    43.79578
   4.90000     1.10000    44.20178
   5.00000     1.10000    43.83624
   0.10000     1.20000    43.40461
   0.20000     1.20000    43.57823
   0.30000     1.20000    42.65919
   0.40000     1.20000    42.29992
   0.50000     1.20000    41.85241
   0.60000     1.20000    41.48323
   0.70000     1.20000    40.91842
   0.80000     1.20000    40.58254
   0.90000     1.20000    39.93555
   1.00000     1.20000    39.40718
   1.10000     1.20000    38.80060
   1.20000     1.20000    38.42902
   1.30000     1.20000    38.10527
   1.40000     1.20000    37.65007
   1.50000     1.20000    37.09065
   1.60000     1.20000    36.74295
   1.70000     1.20000    36.36428
   1.80000     1.20000    36.20858
   1.90000     1.20000    44.23714
   2.00000     1.20000    43.68305
   2.10000     1.20000    43.71400
   2.20000     1.20000    43.64350
   2.30000     1.20000    43.79091
   2.40000     1.20000    43.89651
   2.50000     1.20000    43.68727
   2.60000     1.20000    43.84349
   2.70000     1.20000    43.97378
   2.80000     1.20000    43.93384
   2.90000     1.20000    44.09940
   3.00000     1.20000    43.56681
   3.10000     1.20000    44.03150
   3.20000     1.20000    43.76472
   3.30000     1.20000    44.12618
   3.40000     1.20000    43.95631
   3.50000     1.20000    43.75118
   3.60000     1.20000    43.77923
   3.70000     1.20000    43.60917
   3.80000     1.20000    43.78558
   3.90000     1.20000    43.64776
   4.00000     1.20000    43.88594
   4.10000     1.20000    43.70832
   4.20000     1.20000    43.53311
   4.30000     1.20000    43.99818
   4.40000     1.20000    43.53605
   4.50000     1.20000    43.68803
   4.60000     1.20000    44.05891
   4.70000     1.20000    43.64478
   4.80000     1.20000    43.64405
   4.90000     1.20000    44.12979
   5.00000     1.20000    44.03236
   0.10000     1.30000    43.37011
   0.20000     1.30000    43.33327
   0.30000     1.30000    42.96607
   0.40000     1.30000    42.63358
   0.50000     1.30000    42.23996
   0.60000     1.30000    41.60283
   0.70000     1.30000    41.20624
   0.80000     1.30000    40.50347
   0.90000     1.30000    39.86024
   1.00000     1.30000    39.26217
   1.10000     1.30000    38.62725
   1.20000     1.30000    38.15734
   1.30000     1.30000    37.72594
   1.40000     1.30000    37.29276
   1.50000     1.30000    36.60995
   1.60000     1.30000    36.30073
   1.70000     1.30000    35.94609
   1.80000     1.30000    35.93991
   1.90000     1.30000    43.71573
   2.00000     1.30000    43.68417
   2.10000     1.30000    43.62045
   2.20000     1.30000    43.84895
   2.30000     1.30000    44.16731
   2.40000     1.30000    43.91114
   2.50000     1.30000    43.68596
   2.60000     1.30000    43.86562
   2.70000     1.30000    43.65828
   2.80000     1.30000    43.95088
   2.90000     1.30000    43.71888
   3.00000     1.30000    43.68590
   3.10000     1.30000    43.97731
   3.20000     1.30000    44.04415
   3.30000     1.30000    43.96010
   3.40000     1.30000    44.00556
   3.50000     1.30000    43.83752
   3.60000     1.30000    43.93886
   3.70000     1.30000    43.79984
   3.80000     1.30000    43.85833
   3.90000     1.30000    43.77852
   4.00000     1.30000    43.81198
   4.10000     1.30000    43.61519
   4.20000     1.30000    43.94093
   4.30000     1.30000    43.72813
   4.40000     1.30000    43.75727
   4.50000     1.30000    43.65641
   4.60000     1.30000    43.51233
   4.70000     1.30000    43.86837
   4.80000     1.30000    43.92561
   4.90000     1.30000    43.81398
   5.00000     1.30000    44.02870
   0.10000     1.40000    43.22625
   0.20000     1.40000    43.39688
   0.30000     1.40000    42.72418
   0.40000     1.40000    42.63689
   0.50000     1.40000    41.79371
   0.60000     1.40000    41.30410
   0.70000     1.40000    40.86953
   0.80000     1.40000    40.31139
   0.90000     1.40000    39.42266
   1.00000     1.40000    38.90992
   1.10000     1.40000    38.52072
   1.20000     1.40000    37.86286
   1.30000     1.40000    37.35858
   1.40000     1.40000    36.83188
   1.50000     1.40000    36.66876
   1.60000     1.40000    36.27627
   1.70000     1.40000    35.87938
   1.80000     1.40000    44.08929
   1.90000     1.40000    43.53153
   2.00000     1.40000    44.05065
   2.10000     1.40000    43.98802
   2.20000     1.40000    43.90896
   2.30000     1.40000    43.67073
   2.40000     1.40000    44.12618
   2.50000     1.40000    43.75859
   2.60000     1.40000    43.66137
   2.70000     1.40000    43.66651
   2.80000     1.40000    43.69015
   2.90000     1.40000    44.11782
   3.00000     1.40000    43.94820
   3.10000     1.40000    44.07125
   3.20000     1.40000    44.09285
   3.30000     1.40000    44.03645
   3.40000     1.40000    43.91573
   3.50000     1.40000    43.89395
   3.60000     1.40000    43.81614
   3.70000     1.40000    43.78189
   3.80000     1.40000    43.64618
   3.90000     1.40000    43.63269
   4.00000     1.40000    43.87881
   4.10000     1.40000    44.00240
   4.20000     1.40000    43.90061
   4.30000     1.40000    43.95328
