# bifParam=meanDeficit, maxAmp, minAmp, x1_last, x2_last, y_last
4.58,0.0,0.0,0.189779810501,0.189779810501,0.322623901877
4.59,0.0,0.0,0.189870156073,0.189870156073,0.322902955177
4.6,0.0,0.0,0.189960247256,0.189960247256,0.323181452263
4.609999999999999,0.0,0.0,0.1900500855,0.1900500855,0.323459395853
4.62,0.0,0.0,0.190139672245,0.190139672245,0.323736788646
4.63,0.0,0.0,0.190229008918,0.190229008918,0.324013633324
4.640000000000001,0.0,0.0,0.190318096936,0.190318096936,0.324289932548
4.65,0.0,0.0,0.190406937703,0.190406937703,0.324565688964
4.66,0.0,0.0,0.190495532613,0.190495532613,0.324840905198
4.67,0.0,0.0,0.190583883049,0.190583883049,0.325115583857
4.68,0.0,0.0,0.190671990382,0.190671990382,0.325389727532
4.6899999999999995,0.0,0.0,0.190759855973,0.190759855973,0.325663338796
4.7,0.0,0.0,0.190847481172,0.190847481172,0.325936420205
4.71,0.0,0.0,0.190934867317,0.190934867317,0.326208974296
4.720000000000001,0.0,0.0,0.191022015739,0.191022015739,0.32648100359
4.73,0.0,0.0,0.191108927755,0.191108927755,0.326752510591
4.74,0.0,0.0,0.191195604674,0.191195604674,0.327023497787
4.75,0.0,0.0,0.191282047792,0.191282047792,0.327293967647
4.76,0.0,0.0,0.191368258398,0.191368258398,0.327563922625
4.77,0.0,0.0,0.19145423777,0.19145423777,0.327833365158
4.78,0.0,0.0,0.191539987175,0.191539987175,0.328102297668
4.79,0.0,0.0,0.191625507871,0.191625507871,0.32837072256
4.800000000000001,0.0,0.0,0.191710801107,0.191710801107,0.328638642221
4.8100000000000005,0.0,0.0,0.19179586812,0.19179586812,0.328906059027
4.82,0.0,0.0,0.191880710141,0.191880710141,0.329172975333
