#     r         beta        Ep   
   2.60000     0.60000   186.06349
   2.70000     0.60000   186.35094
   2.80000     0.60000   186.71047
   2.90000     0.60000   186.59691
   3.00000     0.60000   186.54330
   3.10000     0.60000   186.26085
   3.20000     0.60000   186.43344
   3.30000     0.60000   185.82049
   3.40000     0.60000   186.71354
   3.50000     0.60000   185.56238
   3.60000     0.60000   185.46150
   3.70000     0.60000   186.16279
   3.80000     0.60000   186.25228
   3.90000     0.60000   186.30489
   4.00000     0.60000   186.68052
   4.10000     0.60000   185.79455
   4.20000     0.60000   186.55299
   4.30000     0.60000   186.40625
   4.40000     0.60000   186.86979
   4.50000     0.60000   185.96202
   4.60000     0.60000   186.36383
   4.70000     0.60000   185.99890
   4.80000     0.60000   186.20767
   4.90000     0.60000   185.98890
   5.00000     0.60000   186.33729
   0.10000     0.70000   185.30564
   0.20000     0.70000   182.83206
   0.30000     0.70000   179.81180
   0.40000     0.70000   179.79334
   0.50000     0.70000   182.81643
   0.60000     0.70000   184.65839
   0.70000     0.70000   185.03511
   0.80000     0.70000   186.00904
   0.90000     0.70000   186.32396
   1.00000     0.70000   186.04760
   1.10000     0.70000   186.32447
   1.20000     0.70000   186.12853
   1.30000     0.70000   185.94122
   1.40000     0.70000   186.50437
   1.50000     0.70000   186.44135
   1.60000     0.70000   186.41594
   1.70000     0.70000   185.89548
   1.80000     0.70000   186.47427
   1.90000     0.70000   186.12301
   2.00000     0.70000   185.75183
   2.10000     0.70000   186.59454
   2.20000     0.70000   186.09088
   2.30000     0.70000   185.97322
   2.40000     0.70000   186.46861
   2.50000     0.70000   186.61291
   2.60000     0.70000   186.36974
   2.70000     0.70000   185.80325
   2.80000     0.70000   186.21868
   2.90000     0.70000   186.26638
   3.00000     0.70000   186.75716
   3.10000     0.70000   186.18587
   3.20000     0.70000   186.35297
   3.30000     0.70000   186.05484
   3.40000     0.70000   186.08899
   3.50000     0.70000   186.21653
   3.60000     0.70000   186.07378
   3.70000     0.70000   186.42153
   3.80000     0.70000   186.29427
   3.90000     0.70000   185.98675
   4.00000     0.70000   186.80912
   4.10000     0.70000   185.68349
   4.20000     0.70000   186.03608
   4.30000     0.70000   185.99644
   4.40000     0.70000   185.58056
   4.50000     0.70000   185.62344
   4.60000     0.70000   186.27690
   4.70000     0.70000   186.05625
   4.80000     0.70000   185.73009
   4.90000     0.70000   187.08014
   5.00000     0.70000   186.45169
   0.10000     0.80000   185.06336
   0.20000     0.80000   184.21617
   0.30000     0.80000   183.61524
   0.40000     0.80000   182.15427
   0.50000     0.80000   177.37165
   0.60000     0.80000   182.45839
   0.70000     0.80000   185.56373
   0.80000     0.80000   185.71920
   0.90000     0.80000   185.80231
   1.00000     0.80000   186.26069
   1.10000     0.80000   186.16542
   1.20000     0.80000   186.27605
   1.30000     0.80000   186.36760
   1.40000     0.80000   186.25192
   1.50000     0.80000   185.92531
   1.60000     0.80000   186.44140
   1.70000     0.80000   186.40645
   1.80000     0.80000   186.36772
   1.90000     0.80000   186.25142
   2.00000     0.80000   186.31469
   2.10000     0.80000   186.16545
   2.20000     0.80000   186.13131
   2.30000     0.80000   185.99611
   2.40000     0.80000   186.20533
   2.50000     0.80000   186.55818
   2.60000     0.80000   187.01561
   2.70000     0.80000   186.16724
   2.80000     0.80000   186.59337
   2.90000     0.80000   185.79831
   3.00000     0.80000   186.54135
   3.10000     0.80000   185.94514
   3.20000     0.80000   186.55751
   3.30000     0.80000   186.57845
   3.40000     0.80000   186.19284
   3.50000     0.80000   186.00132
   3.60000     0.80000   186.94557
   3.70000     0.80000   186.29076
   3.80000     0.80000   186.81040
   3.90000     0.80000   185.63115
   4.00000     0.80000   186.80451
   4.10000     0.80000   186.48292
   4.20000     0.80000   186.10058
   4.30000     0.80000   186.60213
   4.40000     0.80000   186.16692
   4.50000     0.80000   185.74528
   4.60000     0.80000   186.46342
   4.70000     0.80000   186.30814
   4.80000     0.80000   186.57210
   4.90000     0.80000   186.12876
   5.00000     0.80000   185.97607
   0.10000     0.90000   185.65499
   0.20000     0.90000   184.85072
   0.30000     0.90000   183.76058
   0.40000     0.90000   182.29443
   0.50000     0.90000   181.28416
   0.60000     0.90000   179.33795
   0.70000     0.90000   182.67851
   0.80000     0.90000   185.58062
   0.90000     0.90000   186.78110
   1.00000     0.90000   185.87486
   1.10000     0.90000   186.47458
   1.20000     0.90000   186.91142
   1.30000     0.90000   186.38541
   1.40000     0.90000   185.97078
   1.50000     0.90000   185.61603
   1.60000     0.90000   185.68049
   1.70000     0.90000   186.17372
   1.80000     0.90000   186.24207
   1.90000     0.90000   185.68216
   2.00000     0.90000   186.50490
   2.10000     0.90000   186.93007
   2.20000     0.90000   186.60994
   2.30000     0.90000   186.67876
   2.40000     0.90000   186.65325
   2.50000     0.90000   186.07153
   2.60000     0.90000   186.29960
   2.70000     0.90000   186.16698
   2.80000     0.90000   186.39364
   2.90000     0.90000   186.99914
   3.00000     0.90000   186.43752
