#     r         beta        Ep   
   2.30000     0.80000   110.54871
   2.40000     0.80000   110.57255
   2.50000     0.80000   110.50890
   2.60000     0.80000   110.67239
   2.70000     0.80000   110.52751
   2.80000     0.80000   110.48829
   2.90000     0.80000   110.41333
   3.00000     0.80000   110.58305
   3.10000     0.80000   110.60938
   3.20000     0.80000   110.55658
   3.30000     0.80000   110.73037
   3.40000     0.80000   110.48872
   3.50000     0.80000   110.67135
   3.60000     0.80000   110.64775
   3.70000     0.80000   110.57836
   3.80000     0.80000   110.39094
   3.90000     0.80000   110.41875
   4.00000     0.80000   110.68653
   4.10000     0.80000   110.62281
   4.20000     0.80000   110.62257
   4.30000     0.80000   110.60234
   4.40000     0.80000   110.43667
   4.50000     0.80000   110.38428
   4.60000     0.80000   110.52915
   4.70000     0.80000   110.77819
   4.80000     0.80000   110.59038
   4.90000     0.80000   110.40105
   5.00000     0.80000   110.60358
   0.10000     0.90000   110.61542
   0.20000     0.90000   110.28611
   0.30000     0.90000   110.47883
   0.40000     0.90000   110.20182
   0.50000     0.90000   109.85699
   0.60000     0.90000   109.74973
   0.70000     0.90000   109.45144
   0.80000     0.90000   108.82207
   0.90000     0.90000   108.47225
   1.00000     0.90000   108.09824
   1.10000     0.90000   107.32425
   1.20000     0.90000   106.26590
   1.30000     0.90000   110.37956
   1.40000     0.90000   110.58555
   1.50000     0.90000   110.49963
   1.60000     0.90000   110.54897
   1.70000     0.90000   110.58458
   1.80000     0.90000   110.58068
   1.90000     0.90000   110.74235
   2.00000     0.90000   110.42295
   2.10000     0.90000   110.63786
   2.20000     0.90000   110.68079
   2.30000     0.90000   110.57694
   2.40000     0.90000   110.61357
   2.50000     0.90000   110.59742
   2.60000     0.90000   110.66422
   2.70000     0.90000   110.47673
   2.80000     0.90000   110.43515
   2.90000     0.90000   110.75345
   3.00000     0.90000   110.59741
   3.10000     0.90000   110.53506
   3.20000     0.90000   110.60202
   3.30000     0.90000   110.55014
   3.40000     0.90000   110.60362
   3.50000     0.90000   110.61292
   3.60000     0.90000   110.57148
   3.70000     0.90000   110.37020
   3.80000     0.90000   110.71824
   3.90000     0.90000   110.35401
   4.00000     0.90000   110.68344
   4.10000     0.90000   110.60043
   4.20000     0.90000   110.67037
   4.30000     0.90000   110.54110
   4.40000     0.90000   110.62672
   4.50000     0.90000   110.63409
   4.60000     0.90000   110.56450
   4.70000     0.90000   110.49497
   4.80000     0.90000   110.71410
   4.90000     0.90000   110.69946
   5.00000     0.90000   110.52710
   0.10000     1.00000   110.43704
   0.20000     1.00000   110.23376
   0.30000     1.00000   110.29712
   0.40000     1.00000   110.17794
   0.50000     1.00000   109.65532
   0.60000     1.00000   109.48175
   0.70000     1.00000   109.35871
   0.80000     1.00000   108.77864
   0.90000     1.00000   108.01822
   1.00000     1.00000   107.43789
   1.10000     1.00000   107.01435
   1.20000     1.00000   105.76493
   1.30000     1.00000   110.69822
   1.40000     1.00000   110.69601
   1.50000     1.00000   110.58460
   1.60000     1.00000   110.53140
   1.70000     1.00000   110.48450
   1.80000     1.00000   110.60851
   1.90000     1.00000   110.71439
   2.00000     1.00000   110.58686
   2.10000     1.00000   110.46121
   2.20000     1.00000   110.61603
   2.30000     1.00000   110.45224
   2.40000     1.00000   110.72937
   2.50000     1.00000   110.77238
   2.60000     1.00000   110.55224
   2.70000     1.00000   110.49900
   2.80000     1.00000   110.56608
   2.90000     1.00000   110.51297
   3.00000     1.00000   110.65990
   3.10000     1.00000   110.66061
   3.20000     1.00000   110.37726
   3.30000     1.00000   110.53957
   3.40000     1.00000   110.57852
   3.50000     1.00000   110.66358
   3.60000     1.00000   110.58250
   3.70000     1.00000   110.69728
   3.80000     1.00000   110.59368
   3.90000     1.00000   110.57018
   4.00000     1.00000   110.54651
   4.10000     1.00000   110.55693
   4.20000     1.00000   110.60163
   4.30000     1.00000   110.51642
   4.40000     1.00000   110.51160
   4.50000     1.00000   110.81253
   4.60000     1.00000   110.56834
   4.70000     1.00000   110.65722
   4.80000     1.00000   110.69339
   4.90000     1.00000   110.49287
   5.00000     1.00000   110.55644
   0.10000     1.10000   110.41271
   0.20000     1.10000   110.37478
   0.30000     1.10000   110.18272
   0.40000     1.10000   110.08161
   0.50000     1.10000   109.83552
   0.60000     1.10000   109.52429
   0.70000     1.10000   109.02933
   0.80000     1.10000   108.69754
   0.90000     1.10000   107.98976
   1.00000     1.10000   106.73091
   1.10000     1.10000   106.20106
   1.20000     1.10000   104.70857
   1.30000     1.10000   110.50435
   1.40000     1.10000   110.57715
   1.50000     1.10000   110.48304
   1.60000     1.10000   110.48992
   1.70000     1.10000   110.63515
   1.80000     1.10000   110.61241
   1.90000     1.10000   110.59629
   2.00000     1.10000   110.57661
   2.10000     1.10000   110.47495
   2.20000     1.10000   110.62878
   2.30000     1.10000   110.60565
   2.40000     1.10000   110.48735
   2.50000     1.10000   110.56486
   2.60000     1.10000   110.41800
   2.70000     1.10000   110.61102
   2.80000     1.10000   110.57309
   2.90000     1.10000   110.54431
   3.00000     1.10000   110.45308
   3.10000     1.10000   110.70642
   3.20000     1.10000   110.51047
   3.30000     1.10000   110.51533
   3.40000     1.10000   110.54545
   3.50000     1.10000   110.67276
   3.60000     1.10000   110.53260
   3.70000     1.10000   110.53503
   3.80000     1.10000   110.61333
   3.90000     1.10000   110.55420
   4.00000     1.10000   110.54283
   4.10000     1.10000   110.74087
   4.20000     1.10000   110.58938
   4.30000     1.10000   110.55426
   4.40000     1.10000   110.45547
   4.50000     1.10000   110.61415
   4.60000     1.10000   110.65464
   4.70000     1.10000   110.48044
   4.80000     1.10000   110.57688
   4.90000     1.10000   110.47391
   5.00000     1.10000   110.43381
   0.10000     1.20000   110.45544
   0.20000     1.20000   110.42374
   0.30000     1.20000   110.30373
   0.40000     1.20000   109.83626
   0.50000     1.20000   109.47182
   0.60000     1.20000   109.22998
   0.70000     1.20000   108.65772
   0.80000     1.20000   108.07635
   0.90000     1.20000   107.53388
   1.00000     1.20000   106.60147
   1.10000     1.20000   105.01635
   1.20000     1.20000   104.58134
   1.30000     1.20000   110.36377
   1.40000     1.20000   110.54951
   1.50000     1.20000   110.62100
   1.60000     1.20000   110.59395
   1.70000     1.20000   110.57862
   1.80000     1.20000   110.52634
   1.90000     1.20000   110.54570
   2.00000     1.20000   110.57050
   2.10000     1.20000   110.74220
   2.20000     1.20000   110.46458
   2.30000     1.20000   110.70126
   2.40000     1.20000   110.69271
   2.50000     1.20000   110.65005
   2.60000     1.20000   110.63530
   2.70000     1.20000   110.60428
   2.80000     1.20000   110.42262
   2.90000     1.20000   110.48887
   3.00000     1.20000   110.48542
   3.10000     1.20000   110.59694
   3.20000     1.20000   110.51514
   3.30000     1.20000   110.61399
   3.40000     1.20000   110.44518
   3.50000     1.20000   110.51655
   3.60000     1.20000   110.48351
   3.70000     1.20000   110.59474
   3.80000     1.20000   110.65558
   3.90000     1.20000   110.62386
   4.00000     1.20000   110.70606
   4.10000     1.20000   110.58985
   4.20000     1.20000   110.52822
   4.30000     1.20000   110.77581
   4.40000     1.20000   110.53071
   4.50000     1.20000   110.68379
   4.60000     1.20000   110.65227
   4.70000     1.20000   110.58953
   4.80000     1.20000   110.51552
   4.90000     1.20000   110.52187
   5.00000     1.20000   110.61481
   0.10000     1.30000   110.48086
   0.20000     1.30000   110.09641
   0.30000     1.30000   110.32180
   0.40000     1.30000   109.91887
   0.50000     1.30000   109.49487
   0.60000     1.30000   109.19640
   0.70000     1.30000   108.35682
   0.80000     1.30000   107.74757
   0.90000     1.30000   107.41722
   1.00000     1.30000   106.36406
   1.10000     1.30000   104.81540
   1.20000     1.30000   103.42809
   1.30000     1.30000   101.94755
   1.40000     1.30000   110.56281
   1.50000     1.30000   110.57986
   1.60000     1.30000   110.52588
   1.70000     1.30000   110.71840
   1.80000     1.30000   110.46982
   1.90000     1.30000   110.36260
   2.00000     1.30000   110.68340
   2.10000     1.30000   110.54112
   2.20000     1.30000   110.45580
   2.30000     1.30000   110.57558
   2.40000     1.30000   110.46859
   2.50000     1.30000   110.54202
   2.60000     1.30000   110.69081
   2.70000     1.30000   110.67123
   2.80000     1.30000   110.43790
   2.90000     1.30000   110.43434
   3.00000     1.30000   110.50699
   3.10000     1.30000   110.69140
   3.20000     1.30000   110.62103
   3.30000     1.30000   110.50585
   3.40000     1.30000   110.45774
   3.50000     1.30000   110.45032
   3.60000     1.30000   110.75024
   3.70000     1.30000   110.43680
   3.80000     1.30000   110.75289
   3.90000     1.30000   110.60283
   4.00000     1.30000   110.55827
   4.10000     1.30000   110.61029
   4.20000     1.30000   110.49280
   4.30000     1.30000   110.62258
   4.40000     1.30000   110.66527
   4.50000     1.30000   110.42054
   4.60000     1.30000   110.69349
   4.70000     1.30000   110.73818
   4.80000     1.30000   110.74780
   4.90000     1.30000   110.56862
   5.00000     1.30000   110.46187
   0.10000     1.40000   110.52431
   0.20000     1.40000   110.14892
   0.30000     1.40000   110.16777
   0.40000     1.40000   109.88091
   0.50000     1.40000   109.58633
   0.60000     1.40000   109.19067
   0.70000     1.40000   108.22371
   0.80000     1.40000   107.56316
   0.90000     1.40000   106.46316
   1.00000     1.40000   105.54655
   1.10000     1.40000   103.87244
   1.20000     1.40000   102.46741
   1.30000     1.40000   101.18612
   1.40000     1.40000   110.53970
   1.50000     1.40000   110.46760
   1.60000     1.40000   110.60746
   1.70000     1.40000   110.54190
   1.80000     1.40000   110.55654
   1.90000     1.40000   110.38906
   2.00000     1.40000   110.34598
   2.10000     1.40000   110.61294
   2.20000     1.40000   110.55989
   2.30000     1.40000   110.59522
   2.40000     1.40000   110.68344
   2.50000     1.40000   110.74000
   2.60000     1.40000   110.32751
   2.70000     1.40000   110.55385
   2.80000     1.40000   110.57384
   2.90000     1.40000   110.62735
   3.00000     1.40000   110.58243
   3.10000     1.40000   110.47498
   3.20000     1.40000   110.71672
   3.30000     1.40000   110.53549
   3.40000     1.40000   110.65767
   3.50000     1.40000   110.58855
   3.60000     1.40000   110.62315
   3.70000     1.40000   110.59061
   3.80000     1.40000   110.50360
   3.90000     1.40000   110.75921
   4.00000     1.40000   110.58327
   4.10000     1.40000   110.59503
   4.20000     1.40000   110.58241
   4.30000     1.40000   110.63842
   4.40000     1.40000   110.40850
   4.50000     1.40000   110.49762
   4.60000     1.40000   110.58028
   4.70000     1.40000   110.42116
   4.80000     1.40000   110.57328
   4.90000     1.40000   110.51535
   5.00000     1.40000   110.69220
   0.10000     1.50000   110.46009
   0.20000     1.50000   110.22116
   0.30000     1.50000   110.25190
   0.40000     1.50000   109.90747
   0.50000     1.50000   109.47414
   0.60000     1.50000   108.76188
   0.70000     1.50000   108.01130
   0.80000     1.50000   107.92110
   0.90000     1.50000   106.13135
   1.00000     1.50000   104.57271
   1.10000     1.50000   103.27663
   1.20000     1.50000   101.50259
   1.30000     1.50000   100.24251
   1.40000     1.50000   110.74976
   1.50000     1.50000   110.57238
   1.60000     1.50000   110.72923
   1.70000     1.50000   110.54991
   1.80000     1.50000   110.47115
   1.90000     1.50000   110.57676
   2.00000     1.50000   110.71104
   2.10000     1.50000   110.41154
   2.20000     1.50000   110.54382
   2.30000     1.50000   110.53115
   2.40000     1.50000   110.54670
   2.50000     1.50000   110.58246
   2.60000     1.50000   110.62347
   2.70000     1.50000   110.67345
   2.80000     1.50000   110.37814
   2.90000     1.50000   110.67079
   3.00000     1.50000   110.49283
   3.10000     1.50000   110.54139
   3.20000     1.50000   110.50560
   3.30000     1.50000   110.62350
   3.40000     1.50000   110.61207
   3.50000     1.50000   110.62467
   3.60000     1.50000   110.63854
   3.70000     1.50000   110.64726
   3.80000     1.50000   110.40269
   3.90000     1.50000   110.39234
   4.00000     1.50000   110.67453
   4.10000     1.50000   110.56120
   4.20000     1.50000   110.65149
   4.30000     1.50000   110.38733
   4.40000     1.50000   110.68778
   4.50000     1.50000   110.56000
   4.60000     1.50000   110.67593
   4.70000     1.50000   110.48883
   4.80000     1.50000   110.49219
   4.90000     1.50000   110.61515
   5.00000     1.50000   110.63396
   0.10000     1.60000   110.37552
   0.20000     1.60000   110.29964
   0.30000     1.60000   110.06780
   0.40000     1.60000   109.78633
   0.50000     1.60000   109.30204
   0.60000     1.60000   108.52115
   0.70000     1.60000   107.91360
   0.80000     1.60000   106.62518
   0.90000     1.60000   105.52984
   1.00000     1.60000   104.02420
   1.10000     1.60000   102.34707
   1.20000     1.60000   100.78209
   1.30000     1.60000   110.72334
   1.40000     1.60000   110.55455
   1.50000     1.60000   110.64965
   1.60000     1.60000   110.49579
   1.70000     1.60000   110.57480
   1.80000     1.60000   110.62000
   1.90000     1.60000   110.59510
   2.00000     1.60000   110.47125
   2.10000     1.60000   110.43075
   2.20000     1.60000   110.32677
   2.30000     1.60000   110.67883
   2.40000     1.60000   110.41099
   2.50000     1.60000   110.76954
   2.60000     1.60000   110.41136
   2.70000     1.60000   110.44092
   2.80000     1.60000   110.54164
   2.90000     1.60000   110.63604
   3.00000     1.60000   110.61716
   3.10000     1.60000   110.61562
   3.20000     1.60000   110.32762
   3.30000     1.60000   110.31727
   3.40000     1.60000   110.57593
   3.50000     1.60000   110.54030
   3.60000     1.60000   110.49117
   3.70000     1.60000   110.61985
   3.80000     1.60000   110.36961
   3.90000     1.60000   110.65646
   4.00000     1.60000   110.48814
   4.10000     1.60000   110.49790
