#     r         beta        Ep   
   1.60000     0.12500   103.09241
   1.62500     0.12500   102.41252
   1.65000     0.12500   102.26886
   1.67500     0.12500   102.26360
   1.70000     0.12500   102.40648
   1.72500     0.12500   102.64923
   1.75000     0.12500   102.11133
   1.77500     0.12500   102.63804
   1.80000     0.12500   102.76070
   1.82500     0.12500   102.60804
   1.85000     0.12500   102.57847
   1.87500     0.12500   102.56760
   1.90000     0.12500   102.56700
   1.92500     0.12500   102.91509
   1.95000     0.12500   103.07930
   1.97500     0.12500   102.52799
   2.00000     0.12500   102.46794
   2.02500     0.12500   102.61373
   2.05000     0.12500   102.32890
   2.07500     0.12500   102.56069
   2.10000     0.12500   102.48695
   2.12500     0.12500   102.81269
   2.15000     0.12500   102.17102
   2.17500     0.12500   102.86101
   2.20000     0.12500   102.44510
   2.22500     0.12500   102.91510
   2.25000     0.12500   102.80846
   2.27500     0.12500   102.63822
   2.30000     0.12500   102.65469
   2.32500     0.12500   102.59475
   2.35000     0.12500   102.48524
   2.37500     0.12500   102.75880
   2.40000     0.12500   102.27447
   2.42500     0.12500   102.66939
   2.45000     0.12500   102.62157
   2.47500     0.12500   102.81985
   2.50000     0.12500   102.64380
   0.02500     0.15000   102.33175
   0.05000     0.15000   102.56350
   0.07500     0.15000   102.57182
   0.10000     0.15000   102.49223
   0.12500     0.15000   103.44623
   0.15000     0.15000   102.68378
   0.17500     0.15000   102.71725
   0.20000     0.15000   102.46258
   0.22500     0.15000   102.23481
   0.25000     0.15000   102.31291
   0.27500     0.15000   102.77127
   0.30000     0.15000   102.52087
   0.32500     0.15000   102.50345
   0.35000     0.15000   102.30793
   0.37500     0.15000   102.27571
   0.40000     0.15000   102.27413
   0.42500     0.15000   102.24338
   0.45000     0.15000   103.08278
   0.47500     0.15000   102.20326
   0.50000     0.15000   102.33702
   0.52500     0.15000   102.02591
   0.55000     0.15000   102.25655
   0.57500     0.15000   102.91133
   0.60000     0.15000   102.60225
   0.62500     0.15000   102.33335
   0.65000     0.15000   102.61182
   0.67500     0.15000   102.25172
   0.70000     0.15000   102.17251
   0.72500     0.15000   102.27662
   0.75000     0.15000   102.45507
   0.77500     0.15000   102.22752
   0.80000     0.15000   102.65984
   0.82500     0.15000   102.38185
   0.85000     0.15000   102.37301
   0.87500     0.15000   102.25489
   0.90000     0.15000   102.51504
   0.92500     0.15000   102.37922
   0.95000     0.15000   102.33261
   0.97500     0.15000   102.86207
   1.00000     0.15000   102.36540
   1.02500     0.15000   102.86510
   1.05000     0.15000   102.56674
   1.07500     0.15000   102.53481
   1.10000     0.15000   102.77880
   1.12500     0.15000   102.37707
   1.15000     0.15000   102.89679
   1.17500     0.15000   102.53093
   1.20000     0.15000   102.77516
   1.22500     0.15000   102.39113
   1.25000     0.15000   102.39591
   1.27500     0.15000   102.36281
   1.30000     0.15000   102.39932
   1.32500     0.15000   102.53261
   1.35000     0.15000   102.90199
   1.37500     0.15000   102.49934
   1.40000     0.15000   102.51039
   1.42500     0.15000   102.44177
   1.45000     0.15000   101.92600
   1.47500     0.15000   102.88186
   1.50000     0.15000   102.48993
   1.52500     0.15000   102.36546
   1.55000     0.15000   102.67906
   1.57500     0.15000   102.88918
   1.60000     0.15000   102.51943
   1.62500     0.15000   102.30054
   1.65000     0.15000   102.09047
   1.67500     0.15000   102.58340
   1.70000     0.15000   102.54801
   1.72500     0.15000   102.15513
   1.75000     0.15000   102.68988
   1.77500     0.15000   102.72272
   1.80000     0.15000   102.42203
   1.82500     0.15000   102.07792
   1.85000     0.15000   102.33779
   1.87500     0.15000   102.61312
   1.90000     0.15000   102.44443
   1.92500     0.15000   102.61750
   1.95000     0.15000   102.86848
   1.97500     0.15000   102.66023
   2.00000     0.15000   102.67995
   2.02500     0.15000   103.02927
   2.05000     0.15000   102.76086
   2.07500     0.15000   103.12595
   2.10000     0.15000   102.27601
   2.12500     0.15000   102.99637
   2.15000     0.15000   102.79254
   2.17500     0.15000   102.99791
   2.20000     0.15000   102.51715
   2.22500     0.15000   102.95513
   2.25000     0.15000   102.97399
   2.27500     0.15000   102.97750
   2.30000     0.15000   102.61377
   2.32500     0.15000   102.94576
   2.35000     0.15000   102.50897
   2.37500     0.15000   102.67021
   2.40000     0.15000   102.46260
   2.42500     0.15000   102.38269
   2.45000     0.15000   102.54443
   2.47500     0.15000   102.58526
   2.50000     0.15000   102.77628
   0.02500     0.17500   102.73811
   0.05000     0.17500   102.65248
   0.07500     0.17500   102.54694
   0.10000     0.17500   102.87588
   0.12500     0.17500   102.84647
   0.15000     0.17500   102.56703
   0.17500     0.17500   102.51233
   0.20000     0.17500   102.30651
   0.22500     0.17500   102.16060
   0.25000     0.17500   102.78225
   0.27500     0.17500   102.19280
   0.30000     0.17500   102.31212
   0.32500     0.17500   102.32339
   0.35000     0.17500   102.10415
   0.37500     0.17500   101.98001
   0.40000     0.17500   102.75489
   0.42500     0.17500   102.32021
   0.45000     0.17500   102.11452
   0.47500     0.17500   102.13236
   0.50000     0.17500   102.37527
   0.52500     0.17500   102.34877
   0.55000     0.17500   102.36515
   0.57500     0.17500   102.53537
   0.60000     0.17500   102.36134
   0.62500     0.17500   102.56088
   0.65000     0.17500   102.64229
   0.67500     0.17500   102.07792
   0.70000     0.17500   102.40865
   0.72500     0.17500   102.55539
   0.75000     0.17500   101.97930
   0.77500     0.17500   102.16110
   0.80000     0.17500   102.07232
   0.82500     0.17500   102.51035
   0.85000     0.17500   103.07438
   0.87500     0.17500   102.26778
   0.90000     0.17500   102.10487
   0.92500     0.17500   102.15067
   0.95000     0.17500   102.68305
   0.97500     0.17500   102.30025
   1.00000     0.17500   102.45221
   1.02500     0.17500   102.66430
   1.05000     0.17500   102.67302
   1.07500     0.17500   102.57606
   1.10000     0.17500   102.34341
   1.12500     0.17500   102.50216
   1.15000     0.17500   101.94012
   1.17500     0.17500   102.19856
   1.20000     0.17500   102.34329
   1.22500     0.17500   102.53361
   1.25000     0.17500   102.81576
   1.27500     0.17500   102.42953
   1.30000     0.17500   102.63968
   1.32500     0.17500   102.89981
   1.35000     0.17500   102.89629
   1.37500     0.17500   102.62510
   1.40000     0.17500   102.68584
   1.42500     0.17500   102.78440
   1.45000     0.17500   102.39082
   1.47500     0.17500   102.14473
   1.50000     0.17500   102.47963
   1.52500     0.17500   102.61129
   1.55000     0.17500   102.12287
   1.57500     0.17500   102.26375
   1.60000     0.17500   102.55147
   1.62500     0.17500   102.64962
   1.65000     0.17500   103.00875
   1.67500     0.17500   102.96314
   1.70000     0.17500   102.52258
   1.72500     0.17500   102.56530
   1.75000     0.17500   102.34103
   1.77500     0.17500   101.81472
   1.80000     0.17500   102.24877
   1.82500     0.17500   102.39794
   1.85000     0.17500   102.31761
   1.87500     0.17500   102.73410
   1.90000     0.17500   102.46623
   1.92500     0.17500   102.46551
   1.95000     0.17500   102.42099
   1.97500     0.17500   102.68700
   2.00000     0.17500   102.63519
   2.02500     0.17500   102.19083
   2.05000     0.17500   102.70587
   2.07500     0.17500   102.11540
   2.10000     0.17500   102.58994
   2.12500     0.17500   102.52783
   2.15000     0.17500   102.86844
   2.17500     0.17500   102.63877
   2.20000     0.17500   102.67662
   2.22500     0.17500   102.79221
   2.25000     0.17500   102.54287
   2.27500     0.17500   102.65767
   2.30000     0.17500   102.57248
   2.32500     0.17500   102.58989
   2.35000     0.17500   102.53348
   2.37500     0.17500   102.65581
   2.40000     0.17500   102.95885
   2.42500     0.17500   102.33982
   2.45000     0.17500   102.82836
   2.47500     0.17500   102.82650
   2.50000     0.17500   102.50503
   0.02500     0.20000   102.95304
   0.05000     0.20000   102.10648
   0.07500     0.20000   102.73718
   0.10000     0.20000   102.38311
   0.12500     0.20000   102.46460
   0.15000     0.20000   102.56972
   0.17500     0.20000   102.70264
   0.20000     0.20000   102.45175
   0.22500     0.20000   102.07736
   0.25000     0.20000   102.50312
   0.27500     0.20000   102.58753
